TbelPV1,Tupaia_belangeri
TePV1,Talpa_europaea
CPV1,Canis_lupus
CPV6,Canis_lupus
FcaPV1,Felis_catus
PlpPV1,Panthera_leo
UuPV1,Panthera_uncia
LrPV1,Lynx_rufus
PcPV1,Puma_concolor
CcrPV1,Crocuta_crocuta
LwiePV1,Leopardus_wiedii
LwPV1,Leptonychotes_weddellii
AmPV4,Ailuropoda_melanoleuca
ElPV1,Enhydra_lutris
PlPV1,Procyon_lotor
TbraPV3,Tadarida_brasiliensis
TbraPV2,Tadarida_brasiliensis
TbraPV1,Tadarida_brasiliensis
EdPV1,Erethizon_dorsatum
HPV41,Homo_sapiens
RfPV1,Rhinolophus_ferrumequinum
EsPV3,Eptesicus_serotinus
EsPV1,Eptesicus_serotinus
MscPV2,Miniopterus_schreibersii
EhPV1,Eidolon_helvum
HPV204,Homo_sapiens
HPV63,Homo_sapiens
HPV1,Homo_sapiens
CcanPV1,Castor_canadensis
OcPV1,Oryctolagus_cuniculus
SfPV1,Sylvilagus_floridanus