AA,color,mean,sd,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
P,Yang,6.02542982,0.396206383,5.674418605,5.778191985,5.496040987,6.590004423,6.310456011,6.303466907,,,,,,,,,,,,,,,
P,Yin,5.901076146,0.194570439,6.109022556,5.901639344,6.004728132,5.58891455,,,,,,,,,,,,,,,,,
P,Other,5.858678185,0.38619012,6.241201314,5.371702638,5.139289145,5.555555556,5.635148042,6.131178707,6.05065666,5.381165919,6.047411708,6.341694274,5.357142857,6.050338819,5.990338164,6.092843327,6.050338819,5.981669079,5.848235863,5.102040816,6.358926048,5.961538462,6.343825666
S,Yang,7.066613883,0.431844911,6.697674419,7.315936626,7.219375873,7.607253428,6.310456011,7.248986943,,,,,,,,,,,,,,,
S,Yin,6.892521065,0.451495713,7.142857143,6.229508197,6.761229314,7.436489607,,,,,,,,,,,,,,,,,
S,Other,7.619204103,0.431580737,6.335053965,7.865707434,8.357348703,7.950191571,7.449856734,7.794676806,8.161350844,7.872446437,8.176100629,7.24088973,7.287644788,7.357212004,7.29468599,7.736943907,7.260406583,7.477086348,7.781536974,7.482993197,7.48940179,8.028846154,7.602905569
T,Yang,6.362715633,0.584695351,7.162790698,5.964585275,5.589194224,6.811145511,5.849838784,6.798739307,,,,,,,,,,,,,,,
T,Yin,6.790124562,0.504421488,6.156015038,7.494145199,6.997635934,6.512702079,,,,,,,,,,,,,,,,,
T,Other,6.183806888,0.382481089,6.335053965,6.474820144,6.676272815,6.034482759,5.969436485,6.131178707,5.909943715,6.377678127,5.95065312,7.0989115,6.515444015,6.631171346,5.845410628,5.996131528,6.292352372,6.078147612,6.379893668,6.02526725,5.463966086,6.25,5.423728814
R,Yang,6.273102658,0.3515859,6.930232558,6.290773532,6.474149977,6.059265812,5.895900507,5.988293561,,,,,,,,,,,,,,,
R,Yin,6.332437672,0.147431333,6.343984962,6.088992974,6.430260047,6.466512702,,,,,,,,,,,,,,,,,
R,Other,5.955201239,0.507677379,6.28812764,5.563549161,5.90778098,5.986590038,6.160458453,5.465779468,5.253283302,5.580468361,5.563618771,5.773781354,4.874517375,6.389157793,6.1352657,6.334622824,6.921587609,6.84997588,5.848235863,5.587949466,6.170513424,5.721153846,6.682808717
A,Yang,6.309942348,0.398234433,6.976744186,5.778191985,6.287843503,5.926581159,6.586826347,6.303466907,,,,,,,,,,,,,,,
A,Yin,5.982018284,0.102569593,6.109022556,5.854800937,6.052009456,5.912240185,,,,,,,,,,,,,,,,,
A,Other,5.853148996,0.437847679,6.053496011,5.51558753,5.90778098,6.082375479,5.969436485,5.608365019,5.628517824,4.982561036,5.321722303,6.10506389,5.694980695,6.969990319,6.280193237,6.286266925,5.953533398,6.464061746,5.219913001,5.63654033,5.558172398,5.721153846,5.956416465